ANYO;MES;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_SECTOR;DESC_SECTOR;COD_GRUPO;DESC_GRUPO;COD_GENERO;DESC_GENERO;RANGO_EDAD;NUM_CONTRATOS
2020;04;03;ALICANTE;001;ATZÚBIA, L';S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;<25  ;1
2020;04;03;ALICANTE;001;ATZÚBIA, L';S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;25-44;2
2020;04;03;ALICANTE;001;ATZÚBIA, L';S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;1
2020;04;03;ALICANTE;001;ATZÚBIA, L';S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
2020;04;03;ALICANTE;001;ATZÚBIA, L';S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;1
2020;04;03;ALICANTE;001;ATZÚBIA, L';C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2020;04;03;ALICANTE;001;ATZÚBIA, L';S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;>44  ;2
2020;04;03;ALICANTE;001;ATZÚBIA, L';I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;1
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;3
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;>44  ;2
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;1
2020;04;03;ALICANTE;002;AGOST;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;2
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;25-44;3
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;1
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;>44  ;11
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;1
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;>44  ;3
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;>44  ;1
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;25-44;5
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;3
2020;04;03;ALICANTE;002;AGOST;I ;INDUSTRIA; 01;Directores y gerentes;M;Mujer;>44  ;1
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;1
2020;04;03;ALICANTE;002;AGOST;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;6
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;<25  ;2
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;2
2020;04;03;ALICANTE;002;AGOST;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;<25  ;2
2020;04;03;ALICANTE;002;AGOST;I ;INDUSTRIA; 03;Técnicos, profesionales de apoyo;H;Hombre;>44  ;2
2020;04;03;ALICANTE;002;AGOST;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;1
2020;04;03;ALICANTE;002;AGOST;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;<25  ;1
2020;04;03;ALICANTE;002;AGOST;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;25-44;4
2020;04;03;ALICANTE;002;AGOST;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;003;AGRES;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
2020;04;03;ALICANTE;003;AGRES;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;1
2020;04;03;ALICANTE;003;AGRES;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;1
2020;04;03;ALICANTE;004;AIGÜES;C ;CONSTRUCCIÓN; 09;Ocupaciones elementales;H;Hombre;25-44;3
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 01;Directores y gerentes;H;Hombre;<25  ;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;23
2020;04;03;ALICANTE;005;ALBATERA;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;3
2020;04;03;ALICANTE;005;ALBATERA;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;>44  ;2
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;25-44;3
2020;04;03;ALICANTE;005;ALBATERA;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;<25  ;14
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;34
2020;04;03;ALICANTE;005;ALBATERA;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;<25  ;1
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;7
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;2
2020;04;03;ALICANTE;005;ALBATERA;I ;INDUSTRIA; 09;Ocupaciones elementales;M;Mujer;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;36
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;<25  ;2
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;<25  ;2
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;>44  ;1
2020;04;03;ALICANTE;005;ALBATERA;C ;CONSTRUCCIÓN; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;1
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;M;Mujer;25-44;2
2020;04;03;ALICANTE;005;ALBATERA;C ;CONSTRUCCIÓN; 09;Ocupaciones elementales;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;C ;CONSTRUCCIÓN; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;>44  ;2
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;31
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;<25  ;1
2020;04;03;ALICANTE;005;ALBATERA;C ;CONSTRUCCIÓN; 09;Ocupaciones elementales;H;Hombre;25-44;2
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;>44  ;64
2020;04;03;ALICANTE;005;ALBATERA;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;25-44;1
2020;04;03;ALICANTE;005;ALBATERA;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;10
2020;04;03;ALICANTE;006;ALCALALÍ;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;1
2020;04;03;ALICANTE;008;ALCOLEJA;A ;AGRICULTURA; 09;Ocupaciones elementales;H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;<25  ;4
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 01;Directores y gerentes;M;Mujer;>44  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;4
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;<25  ;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;>44  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;17
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;>44  ;10
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;M;Mujer;>44  ;9
2020;04;03;ALICANTE;009;ALCOI/ALCOY;C ;CONSTRUCCIÓN; 09;Ocupaciones elementales;H;Hombre;25-44;4
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;25-44;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;>44  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;6
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;M;Mujer;25-44;14
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;<25  ;7
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;7
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;13
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;25-44;9
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;4
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);M;Mujer;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;>44  ;9
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;>44  ;22
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 04;Empleados contables, administrativos y otros empleados de oficina;M;Mujer;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;5
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;25-44;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;>44  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;M;Mujer;25-44;11
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;>44  ;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 09;Ocupaciones elementales;M;Mujer;<25  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;M;Mujer;25-44;5
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;M;Mujer;>44  ;6
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 03;Técnicos, profesionales de apoyo;M;Mujer;25-44;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;M;Mujer;>44  ;8
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;H;Hombre;25-44;20
2020;04;03;ALICANTE;009;ALCOI/ALCOY;C ;CONSTRUCCIÓN; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 09;Ocupaciones elementales;M;Mujer;<25  ;10
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 01;Directores y gerentes;H;Hombre;>44  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 02;Técnicos y profesionales científicos e intelectuales;H;Hombre;25-44;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;C ;CONSTRUCCIÓN; 09;Ocupaciones elementales;H;Hombre;>44  ;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;>44  ;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;A ;AGRICULTURA; 06;Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;H;Hombre;<25  ;1
2020;04;03;ALICANTE;009;ALCOI/ALCOY;I ;INDUSTRIA; 08;Operadores de instalaciones y maquinaria, y montadores;H;Hombre;>44  ;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 05;Trabajadores de los servicios de restauración, personales, protección y vendedores;H;Hombre;25-44;2
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 07;Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);H;Hombre;25-44;3
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 09;Ocupaciones elementales;H;Hombre;25-44;6
2020;04;03;ALICANTE;009;ALCOI/ALCOY;S ;SERVICIOS; 03;Técnicos, profesionales de apoyo;H;Hombre;25-44;2
